,START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,DISTANCE,Year,Time Cat
0,2016-01-01 21:11:00,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,Long Trip,2020,Medium Trip
1,2016-01-02 01:25:00,1/2/2016 1:37,Business,Fort Pierce,Fort Pierce,5.0,,Short Trip,2020,Medium Trip
2,2016-01-02 20:25:00,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,Short Trip,2020,Short Trip
3,2016-01-05 17:31:00,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,Short Trip,2020,Short Trip
4,2016-01-06 14:42:00,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,Long Trip,2020,Long Trip
5,2016-01-06 17:15:00,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,Short Trip,2020,Short Trip
6,2016-01-06 17:30:00,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,Long Trip,2020,Medium Trip
7,2016-01-07 13:27:00,1/7/2016 13:33,Business,Cary,Cary,0.8,Meeting,Short Trip,2020,Short Trip
8,2016-01-10 08:05:00,1/10/2016 8:25,Business,Cary,Morrisville,8.3,Meeting,Long Trip,2020,Medium Trip
9,2016-01-10 12:17:00,1/10/2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,Long Trip,2020,Long Trip
10,2016-01-10 15:08:00,1/10/2016 15:51,Business,New York,Queens,10.8,Meeting,Long Trip,2020,Long Trip
11,2016-01-10 18:18:00,1/10/2016 18:53,Business,Elmhurst,New York,7.5,Meeting,Long Trip,2020,Medium Trip
12,2016-01-10 19:12:00,1/10/2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,Long Trip,2020,Medium Trip
13,2016-01-11 08:55:00,1/11/2016 9:21,Business,East Harlem,NoMad,6.4,Temporary Site,Long Trip,2020,Medium Trip
14,2016-01-11 11:56:00,1/11/2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,Short Trip,2020,Short Trip
15,2016-01-11 13:32:00,1/11/2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,Short Trip,2020,Short Trip
16,2016-01-11 14:30:00,1/11/2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,Short Trip,2020,Short Trip
17,2016-01-12 12:33:00,1/12/2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,Short Trip,2020,Short Trip
18,2016-01-12 12:53:00,1/12/2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,Short Trip,2020,Short Trip
19,2016-01-12 14:42:00,1/12/2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,Short Trip,2020,Short Trip
20,2016-01-12 15:13:00,1/12/2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,Short Trip,2020,Short Trip
21,2016-01-12 15:42:00,1/12/2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,Short Trip,2020,Short Trip
22,2016-01-12 16:02:00,1/12/2016 17:00,Business,New York,Queens County,15.1,Meeting,Long Trip,2020,Long Trip
23,2016-01-13 13:54:00,1/13/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting,Long Trip,2020,Long Trip
24,2016-01-13 15:00:00,1/13/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting,Long Trip,2020,Long Trip
25,2016-01-14 16:29:00,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,Long Trip,2020,Long Trip
26,2016-01-14 21:39:00,1/14/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,Short Trip,2020,Short Trip
27,2016-01-15 00:41:00,1/15/2016 1:01,Business,Morrisville,Cary,8.0,Errand/Supplies,Long Trip,2020,Medium Trip
28,2016-01-15 11:43:00,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,Long Trip,2020,Long Trip
29,2016-01-15 13:26:00,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,Long Trip,2020,Long Trip
30,2016-01-18 14:55:00,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,Short Trip,2020,Short Trip
31,2016-01-18 16:13:00,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,Short Trip,2020,Short Trip
32,2016-01-19 09:09:00,1/19/2016 9:23,Business,Whitebridge,Lake Wellingborough,7.2,,Long Trip,2020,Medium Trip
33,2016-01-19 10:55:00,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,Long Trip,2020,Medium Trip
34,2016-01-20 10:36:00,1/20/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,Long Trip,2020,Long Trip
35,2016-01-20 11:48:00,1/20/2016 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting,Long Trip,2020,Long Trip
36,2016-01-20 13:25:00,1/20/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,Long Trip,2020,Long Trip
37,2016-01-21 14:25:00,1/21/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,Short Trip,2020,Short Trip
38,2016-01-21 14:43:00,1/21/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,Short Trip,2020,Short Trip
39,2016-01-21 16:01:00,1/21/2016 16:06,Business,Cary,Cary,1.0,Meal/Entertain,Short Trip,2020,Short Trip
40,2016-01-26 10:41:00,1/26/2016 10:50,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,Short Trip,2020,Short Trip
41,2016-01-26 12:33:00,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,Short Trip,2020,Short Trip
42,2016-01-26 16:24:00,1/26/2016 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,Short Trip,2020,Short Trip
43,2016-01-26 17:17:00,1/26/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,Short Trip,2020,Short Trip
44,2016-01-26 17:27:00,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,Short Trip,2020,Short Trip
45,2016-01-27 09:24:00,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,Short Trip,2020,Short Trip
46,2016-01-27 10:19:00,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,Long Trip,2020,Long Trip
47,2016-01-27 12:34:00,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,Short Trip,2020,Short Trip
48,2016-01-27 14:05:00,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,Short Trip,2020,Short Trip
49,2016-01-27 14:46:00,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,Long Trip,2020,Long Trip
50,2016-01-28 12:28:00,1/28/2016 13:00,Business,Cary,Raleigh,19.0,Temporary Site,Long Trip,2020,Long Trip
51,2016-01-28 15:11:00,1/28/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,Long Trip,2020,Long Trip
52,2016-01-28 16:21:00,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,Long Trip,2020,Long Trip
53,2016-01-29 09:31:00,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,Short Trip,2020,Short Trip
54,2016-01-29 10:56:00,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,Long Trip,2020,Medium Trip
55,2016-01-29 11:43:00,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
56,2016-01-29 13:24:00,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,Long Trip,2020,Long Trip
57,2016-01-29 18:31:00,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,Long Trip,2020,Medium Trip
