START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,DISTANCE,Year,Time Cat
2016-01-01 21:11:00,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,Long Trip,2020,Medium Trip
2016-01-02 01:25:00,1/2/2016 1:37,Business,Fort Pierce,Fort Pierce,5.0,,Short Trip,2020,Medium Trip
2016-01-02 20:25:00,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-05 17:31:00,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,Short Trip,2020,Short Trip
2016-01-06 14:42:00,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,Long Trip,2020,Long Trip
2016-01-06 17:15:00,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-06 17:30:00,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,Long Trip,2020,Medium Trip
2016-01-07 13:27:00,1/7/2016 13:33,Business,Cary,Cary,0.8,Meeting,Short Trip,2020,Short Trip
2016-01-10 08:05:00,1/10/2016 8:25,Business,Cary,Morrisville,8.3,Meeting,Long Trip,2020,Medium Trip
2016-01-10 12:17:00,1/10/2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,Long Trip,2020,Long Trip
2016-01-10 15:08:00,1/10/2016 15:51,Business,New York,Queens,10.8,Meeting,Long Trip,2020,Long Trip
2016-01-10 18:18:00,1/10/2016 18:53,Business,Elmhurst,New York,7.5,Meeting,Long Trip,2020,Medium Trip
2016-01-10 19:12:00,1/10/2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,Long Trip,2020,Medium Trip
2016-01-11 08:55:00,1/11/2016 9:21,Business,East Harlem,NoMad,6.4,Temporary Site,Long Trip,2020,Medium Trip
2016-01-11 11:56:00,1/11/2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,Short Trip,2020,Short Trip
